epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9535,2.1488,3.93862,1.25211,0.6579,0.10294,0.09715,0.05947,2.08715,2.6109,1.13137,0.000166038,0.000166038,0.000166038
2,92.2851,2.03236,2.55726,1.13018,0.59116,0.17323,0.16775,0.09824,1.96386,2.1864,1.10617,0.000331058,0.000331058,0.000331058
3,136.65,1.95787,2.12732,1.11136,0.5714,0.2039,0.2088,0.12048,1.91013,1.91238,1.10032,0.000494427,0.000494427,0.000494427
4,182.97,1.89962,1.92271,1.10419,0.64537,0.2289,0.24157,0.14078,1.83769,1.72742,1.06241,0.000492575,0.000492575,0.000492575
5,225.862,1.84369,1.74732,1.07176,0.62829,0.23087,0.24668,0.14488,1.82356,1.67908,1.04915,0.0004901,0.0004901,0.0004901
6,268.144,1.76189,1.60254,1.05271,0.65701,0.25227,0.27099,0.15989,1.76242,1.60525,1.05105,0.000487625,0.000487625,0.000487625
7,313.589,1.75852,1.57844,1.06042,0.64886,0.25998,0.28794,0.16976,1.80328,1.62581,1.04694,0.00048515,0.00048515,0.00048515
8,357.444,1.7282,1.52016,1.04656,0.64498,0.27957,0.30219,0.1792,1.7718,1.52361,1.03816,0.000482675,0.000482675,0.000482675
9,401.338,1.71704,1.48876,1.05275,0.6125,0.30087,0.31873,0.19246,1.73929,1.4982,1.03625,0.0004802,0.0004802,0.0004802
10,445.583,1.69877,1.42773,1.03042,0.65655,0.28351,0.32633,0.19753,1.72702,1.46188,1.02441,0.000477725,0.000477725,0.000477725
11,491.492,1.67643,1.39415,1.02965,0.64578,0.30635,0.32935,0.19846,1.71835,1.42734,1.02582,0.00047525,0.00047525,0.00047525
12,537.223,1.71717,1.39008,1.0324,0.71235,0.29673,0.33581,0.20544,1.70096,1.41146,1.02513,0.000472775,0.000472775,0.000472775
13,582.772,1.66362,1.33922,1.03122,0.67656,0.30702,0.33975,0.20641,1.69783,1.36967,1.02742,0.0004703,0.0004703,0.0004703
14,630.161,1.61228,1.31712,1.01994,0.68042,0.30871,0.34603,0.21207,1.69873,1.35902,1.02374,0.000467825,0.000467825,0.000467825
15,672.665,1.62834,1.28136,1.01734,0.64994,0.31958,0.34965,0.21297,1.69147,1.34161,1.01746,0.00046535,0.00046535,0.00046535
16,719.387,1.62357,1.25914,1.00929,0.68801,0.31596,0.35319,0.21322,1.69698,1.33194,1.01545,0.000462875,0.000462875,0.000462875
17,767.839,1.60884,1.27955,1.01794,0.60265,0.32298,0.35337,0.21281,1.67699,1.30406,1.01335,0.0004604,0.0004604,0.0004604
18,812.042,1.60384,1.22763,1.01132,0.65189,0.33464,0.37031,0.22307,1.68143,1.29304,1.01801,0.000457925,0.000457925,0.000457925
19,854.149,1.60603,1.21773,1.0121,0.65867,0.32909,0.36758,0.22541,1.67171,1.27365,1.00506,0.00045545,0.00045545,0.00045545
20,900.229,1.58628,1.18274,0.9957,0.66327,0.33956,0.36734,0.22464,1.6559,1.26335,1.00037,0.000452975,0.000452975,0.000452975
21,943.55,1.5838,1.17138,0.99717,0.64375,0.3401,0.37043,0.22751,1.66554,1.25494,1.00533,0.0004505,0.0004505,0.0004505
22,989.585,1.58257,1.17038,1.00257,0.65763,0.33805,0.3689,0.22695,1.66037,1.25282,1.00875,0.000448025,0.000448025,0.000448025
23,1034,1.53791,1.12197,0.99007,0.66357,0.33432,0.37014,0.2275,1.64608,1.26255,0.99885,0.00044555,0.00044555,0.00044555
24,1079.88,1.56034,1.13575,0.99256,0.62651,0.35128,0.38056,0.23586,1.65303,1.24142,1.00232,0.000443075,0.000443075,0.000443075
25,1121.72,1.54794,1.12676,0.99285,0.64525,0.34345,0.37744,0.23171,1.63567,1.2489,0.99748,0.0004406,0.0004406,0.0004406
26,1165.14,1.55507,1.13787,0.99405,0.6562,0.34907,0.38499,0.24139,1.62464,1.24143,0.99381,0.000438125,0.000438125,0.000438125
27,1210.52,1.55037,1.11284,0.98407,0.64866,0.36068,0.3874,0.23891,1.62247,1.19636,0.99166,0.00043565,0.00043565,0.00043565
28,1255.11,1.54888,1.09933,0.98834,0.6617,0.36057,0.38628,0.23713,1.64445,1.23248,0.99511,0.000433175,0.000433175,0.000433175
29,1300,1.54354,1.09055,0.98674,0.65305,0.35768,0.38941,0.24148,1.61924,1.20774,0.9873,0.0004307,0.0004307,0.0004307
30,1344.36,1.51265,1.08313,0.97938,0.65508,0.36133,0.39568,0.2494,1.62104,1.2044,0.99205,0.000428225,0.000428225,0.000428225
31,1389.64,1.51552,1.07028,0.97755,0.66991,0.36229,0.39336,0.24457,1.6357,1.17403,0.99552,0.00042575,0.00042575,0.00042575
32,1434.07,1.52905,1.06726,0.98193,0.66374,0.36169,0.39838,0.2479,1.60953,1.18942,0.98967,0.000423275,0.000423275,0.000423275
33,1479.01,1.50526,1.0595,0.97813,0.70198,0.35878,0.40054,0.24854,1.60596,1.1518,0.99045,0.0004208,0.0004208,0.0004208
34,1523.82,1.5189,1.0464,0.97173,0.65549,0.36599,0.40329,0.2535,1.59126,1.14139,0.98001,0.000418325,0.000418325,0.000418325
35,1566.89,1.52395,1.03835,0.97618,0.65709,0.37264,0.4037,0.2481,1.61197,1.16872,0.99134,0.00041585,0.00041585,0.00041585
36,1611.83,1.48645,1.03226,0.97538,0.71608,0.37028,0.4027,0.25036,1.60115,1.15905,0.9882,0.000413375,0.000413375,0.000413375
37,1657.15,1.50462,1.02592,0.96998,0.73615,0.36545,0.40651,0.25344,1.57709,1.13666,0.98018,0.0004109,0.0004109,0.0004109
38,1702.08,1.50011,1.0278,0.96754,0.66752,0.36819,0.4058,0.25341,1.58539,1.13576,0.9824,0.000408425,0.000408425,0.000408425
39,1747.15,1.48122,1.0048,0.96502,0.74381,0.37732,0.41136,0.25819,1.58662,1.12702,0.97728,0.00040595,0.00040595,0.00040595
40,1789.79,1.51257,1.02067,0.97079,0.73513,0.37547,0.41204,0.25872,1.58583,1.13786,0.98154,0.000403475,0.000403475,0.000403475
41,1832.17,1.46226,1.00927,0.97515,0.66989,0.3692,0.40695,0.25823,1.5766,1.12959,0.97725,0.000401,0.000401,0.000401
42,1876.17,1.49146,1.01469,0.96509,0.68897,0.37447,0.40905,0.2556,1.5844,1.12861,0.98546,0.000398525,0.000398525,0.000398525
43,1923.56,1.47499,0.98831,0.96709,0.68635,0.37179,0.40987,0.25452,1.58983,1.13278,0.98394,0.00039605,0.00039605,0.00039605
44,1967.36,1.50393,1.02529,0.96957,0.74722,0.37246,0.41562,0.26329,1.5752,1.11361,0.97771,0.000393575,0.000393575,0.000393575
45,2009.04,1.44726,0.98066,0.96187,0.71482,0.37993,0.41038,0.25654,1.57019,1.10446,0.9828,0.0003911,0.0003911,0.0003911
