epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6315,4.66882,5.06446,4.14286,0,0,0,0,5.13286,5.02452,4.25227,0.000164179,0.000164179,0.000164179
2,58.8431,4.07082,4.35909,3.49284,0,0,0,0,5.09758,5.04589,4.28328,0.000329208,0.000329208,0.000329208
3,87.4102,3.6936,3.75444,2.96775,0.02053,0.0329,0.01299,0.0039,4.15309,3.77621,3.12354,0.000492587,0.000492587,0.000492587
4,114.969,3.48395,3.34721,2.66781,0.18963,0.03104,0.03242,0.01117,3.52393,3.24272,2.55849,0.000492575,0.000492575,0.000492575
5,141.646,3.26742,3.06763,2.49611,0.19691,0.05171,0.05493,0.02417,3.36166,3.16837,2.37028,0.0004901,0.0004901,0.0004901
6,167.757,3.11007,2.83797,2.33289,0.26839,0.05739,0.05316,0.02074,3.1666,2.75743,2.23749,0.000487625,0.000487625,0.000487625
7,193.496,2.9536,2.70003,2.25074,0.38888,0.07718,0.07005,0.02963,2.98564,2.78652,2.15761,0.00048515,0.00048515,0.00048515
8,218.017,2.83209,2.5661,2.17109,0.43159,0.09437,0.10909,0.04486,2.87319,2.5497,2.06277,0.000482675,0.000482675,0.000482675
9,244.52,2.73206,2.46014,2.14504,0.37727,0.09482,0.10125,0.04939,2.7971,2.4741,2.01747,0.0004802,0.0004802,0.0004802
10,269.772,2.66947,2.39824,2.05941,0.48441,0.11299,0.12023,0.05538,2.75837,2.2614,2.02621,0.000477725,0.000477725,0.000477725
11,296.534,2.62694,2.28873,2.02603,0.40789,0.12783,0.11671,0.05646,2.6667,2.4305,1.92655,0.00047525,0.00047525,0.00047525
12,322.718,2.57314,2.21752,1.97962,0.39723,0.13544,0.13364,0.06504,2.61616,2.26984,1.93401,0.000472775,0.000472775,0.000472775
13,350.177,2.52574,2.16112,1.94702,0.44221,0.12943,0.13882,0.06859,2.55387,2.35721,1.8661,0.0004703,0.0004703,0.0004703
14,376.629,2.44433,2.11442,1.92736,0.40347,0.14675,0.16424,0.0833,2.52358,2.06475,1.90152,0.000467825,0.000467825,0.000467825
15,403.898,2.38712,2.00702,1.89353,0.36988,0.14622,0.13927,0.07356,2.45771,2.43978,1.85416,0.00046535,0.00046535,0.00046535
16,429.125,2.37414,1.95845,1.88943,0.40888,0.16489,0.16603,0.08622,2.44824,2.11694,1.83754,0.000462875,0.000462875,0.000462875
17,454.951,2.3385,1.94874,1.84072,0.48868,0.16945,0.17386,0.08941,2.37135,2.09589,1.8008,0.0004604,0.0004604,0.0004604
