epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4066,4.46609,4.78092,3.91062,0.00768,0.01622,0.00479,0.00132,4.1325,4.54445,3.59269,0.000166038,0.000166038,0.000166038
2,106.198,3.69071,3.62676,3.11796,0.15158,0.02519,0.01357,0.00497,3.57664,5.08753,3.0095,0.000331058,0.000331058,0.000331058
3,155.895,3.23765,3.044,2.7046,0.23211,0.0509,0.04728,0.01772,3.20005,3.30374,2.70595,0.000494427,0.000494427,0.000494427
4,205.096,2.92016,2.81195,2.45824,0.1795,0.08234,0.07411,0.0302,2.88698,2.93455,2.51674,0.000492575,0.000492575,0.000492575
5,254.118,2.67812,2.48241,2.36583,0.25562,0.10177,0.08791,0.03749,2.73428,2.94915,2.40146,0.0004901,0.0004901,0.0004901
6,303.388,2.58515,2.38956,2.26934,0.45089,0.11628,0.13972,0.06603,2.61354,2.81404,2.30784,0.000487625,0.000487625,0.000487625
7,352.607,2.47698,2.23774,2.18047,0.39943,0.12359,0.14356,0.06804,2.51828,2.72934,2.23356,0.00048515,0.00048515,0.00048515
8,401.775,2.33831,2.0971,2.12933,0.37277,0.15918,0.16315,0.08579,2.40353,2.54263,2.17767,0.000482675,0.000482675,0.000482675
9,451.361,2.25435,2.0909,2.08461,0.30634,0.1668,0.16688,0.0897,2.31059,2.64394,2.16573,0.0004802,0.0004802,0.0004802
10,500.351,2.18663,1.94366,2.01434,0.49574,0.17073,0.18715,0.10201,2.26805,2.38802,2.05962,0.000477725,0.000477725,0.000477725
11,549.936,2.11527,1.8897,1.96605,0.5328,0.17482,0.19327,0.10668,2.2449,2.58631,2.03122,0.00047525,0.00047525,0.00047525
12,599.471,2.0359,1.77412,1.91379,0.54342,0.19191,0.20426,0.11695,2.14565,2.40991,1.9568,0.000472775,0.000472775,0.000472775
13,648.211,1.97091,1.72725,1.89907,0.49614,0.20814,0.22324,0.12926,2.05435,2.16581,1.94258,0.0004703,0.0004703,0.0004703
14,697.166,1.96206,1.69756,1.88201,0.50745,0.20944,0.24131,0.13983,2.05855,2.0151,1.93471,0.000467825,0.000467825,0.000467825
15,746.596,1.92986,1.65687,1.81694,0.56907,0.22377,0.24566,0.14671,1.99915,2.07144,1.86575,0.00046535,0.00046535,0.00046535
16,795.218,1.87407,1.60121,1.81347,0.59897,0.19854,0.23254,0.14101,1.96434,2.09891,1.88271,0.000462875,0.000462875,0.000462875
17,844.355,1.847,1.57292,1.78468,0.56343,0.22784,0.2534,0.1563,1.93373,2.06323,1.85439,0.0004604,0.0004604,0.0004604
18,893.782,1.83607,1.59998,1.75373,0.59227,0.2542,0.27808,0.17117,1.91227,1.90674,1.82678,0.000457925,0.000457925,0.000457925
19,942.823,1.80904,1.54024,1.78307,0.5674,0.2352,0.27144,0.16705,1.88559,1.95613,1.80591,0.00045545,0.00045545,0.00045545
20,991.822,1.77384,1.49695,1.74773,0.59764,0.25307,0.27763,0.16988,1.89625,1.87239,1.79326,0.000452975,0.000452975,0.000452975
21,1040.76,1.74536,1.4799,1.70636,0.59559,0.26037,0.28315,0.17801,1.85684,1.90762,1.81851,0.0004505,0.0004505,0.0004505
22,1089.76,1.7073,1.43139,1.71163,0.56009,0.25167,0.27154,0.16935,1.84004,1.90934,1.75643,0.000448025,0.000448025,0.000448025
23,1139.04,1.73204,1.45848,1.71825,0.50267,0.2685,0.29469,0.1841,1.82848,1.87355,1.76879,0.00044555,0.00044555,0.00044555
24,1188.4,1.72084,1.43018,1.66578,0.59103,0.2727,0.30771,0.19588,1.79529,1.72283,1.76367,0.000443075,0.000443075,0.000443075
25,1237.8,1.68768,1.39278,1.68499,0.60939,0.26632,0.30936,0.19433,1.78029,1.81682,1.71812,0.0004406,0.0004406,0.0004406
26,1287.05,1.64771,1.35829,1.68316,0.58789,0.26685,0.30056,0.1923,1.74708,1.78374,1.72998,0.000438125,0.000438125,0.000438125
27,1335.48,1.65941,1.38015,1.67366,0.6037,0.27523,0.30816,0.19577,1.73006,1.75029,1.70622,0.00043565,0.00043565,0.00043565
28,1384.49,1.63863,1.34299,1.68141,0.65117,0.27188,0.31434,0.20307,1.73625,1.75684,1.69888,0.000433175,0.000433175,0.000433175
29,1433.93,1.6321,1.3392,1.64364,0.60512,0.2826,0.31557,0.20173,1.68852,1.71259,1.71348,0.0004307,0.0004307,0.0004307
30,1482.93,1.59518,1.29156,1.6643,0.63491,0.29238,0.32883,0.21162,1.69481,1.63205,1.69282,0.000428225,0.000428225,0.000428225
31,1532.48,1.607,1.29642,1.63088,0.62284,0.28638,0.32938,0.20829,1.69538,1.70563,1.68209,0.00042575,0.00042575,0.00042575
32,1581.16,1.5902,1.3036,1.63807,0.6279,0.29475,0.3338,0.21835,1.67873,1.65847,1.65574,0.000423275,0.000423275,0.000423275
33,1630.29,1.57561,1.28149,1.6197,0.61907,0.3045,0.3381,0.22299,1.65745,1.64959,1.67356,0.0004208,0.0004208,0.0004208
34,1679.63,1.53939,1.2284,1.59257,0.62657,0.29828,0.33835,0.22313,1.62104,1.70417,1.64884,0.000418325,0.000418325,0.000418325
35,1728.73,1.53409,1.23971,1.58863,0.59342,0.29479,0.33901,0.22428,1.60227,1.74124,1.64855,0.00041585,0.00041585,0.00041585
36,1777.63,1.52597,1.22972,1.57946,0.5966,0.30441,0.34524,0.22642,1.63235,1.59611,1.69526,0.000413375,0.000413375,0.000413375
37,1826.66,1.55171,1.25754,1.58966,0.63287,0.30539,0.34804,0.2264,1.60938,1.53542,1.64926,0.0004109,0.0004109,0.0004109
38,1875.74,1.53805,1.2403,1.5618,0.62608,0.31011,0.34657,0.22817,1.60526,1.55937,1.62192,0.000408425,0.000408425,0.000408425
39,1924.81,1.52403,1.21377,1.55549,0.61067,0.3183,0.35755,0.23517,1.59604,1.52062,1.60352,0.00040595,0.00040595,0.00040595
40,1973.7,1.49089,1.19562,1.56918,0.65843,0.30406,0.35391,0.23858,1.55358,1.54097,1.61834,0.000403475,0.000403475,0.000403475
41,2022.95,1.48696,1.19204,1.55969,0.63683,0.31531,0.35996,0.2372,1.55743,1.53021,1.60467,0.000401,0.000401,0.000401
42,2071.97,1.4788,1.16414,1.52539,0.62448,0.32301,0.37005,0.24847,1.53968,1.4652,1.59657,0.000398525,0.000398525,0.000398525
43,2120.96,1.47122,1.17139,1.54789,0.63669,0.31922,0.36621,0.24509,1.54113,1.4617,1.59683,0.00039605,0.00039605,0.00039605
44,2169.91,1.45888,1.1642,1.53663,0.56055,0.31746,0.37188,0.25052,1.52712,1.5583,1.58764,0.000393575,0.000393575,0.000393575
45,2219.11,1.45113,1.14738,1.53345,0.58849,0.32671,0.37289,0.25181,1.53756,1.45557,1.57295,0.0003911,0.0003911,0.0003911
46,2267.86,1.42945,1.13224,1.51539,0.63041,0.33175,0.38227,0.25632,1.53503,1.41075,1.54801,0.000388625,0.000388625,0.000388625
47,2316.92,1.42068,1.1103,1.53352,0.66395,0.32172,0.37744,0.25816,1.50928,1.6425,1.55519,0.00038615,0.00038615,0.00038615
48,2366.03,1.41156,1.14231,1.50349,0.61048,0.32703,0.3852,0.26389,1.51299,1.37536,1.57988,0.000383675,0.000383675,0.000383675
49,2415.2,1.43767,1.13747,1.51167,0.61037,0.34265,0.38255,0.26026,1.48842,1.44846,1.57244,0.0003812,0.0003812,0.0003812
50,2464.22,1.43587,1.13355,1.51631,0.66194,0.33746,0.39522,0.26662,1.49045,1.39165,1.56427,0.000378725,0.000378725,0.000378725
51,2513.2,1.40393,1.09523,1.49151,0.61692,0.3376,0.38307,0.26183,1.49461,1.39996,1.55843,0.00037625,0.00037625,0.00037625
52,2562.06,1.43125,1.11682,1.50732,0.63644,0.33941,0.39033,0.26295,1.48785,1.41666,1.53752,0.000373775,0.000373775,0.000373775
53,2610.82,1.40248,1.081,1.50023,0.57425,0.32994,0.37781,0.25765,1.49345,1.38904,1.54742,0.0003713,0.0003713,0.0003713
54,2659.64,1.39077,1.08083,1.47572,0.61755,0.34099,0.39468,0.26981,1.47578,1.34442,1.55016,0.000368825,0.000368825,0.000368825
55,2708.33,1.37524,1.05885,1.49019,0.59615,0.35949,0.40097,0.27619,1.46154,1.33395,1.53296,0.00036635,0.00036635,0.00036635
56,2757.78,1.38556,1.06876,1.49046,0.62402,0.34834,0.39979,0.27355,1.45532,1.32321,1.51945,0.000363875,0.000363875,0.000363875
57,2806.19,1.38357,1.0569,1.48155,0.60997,0.34843,0.40319,0.2749,1.47253,1.33102,1.52388,0.0003614,0.0003614,0.0003614
58,2855.27,1.36797,1.04749,1.4668,0.65013,0.34472,0.40527,0.27527,1.43948,1.33218,1.52967,0.000358925,0.000358925,0.000358925
59,2904.05,1.37302,1.04672,1.4705,0.63579,0.36114,0.41432,0.27905,1.44828,1.30626,1.50622,0.00035645,0.00035645,0.00035645
60,2953.06,1.36387,1.06132,1.46833,0.64421,0.35341,0.41118,0.28312,1.44032,1.29423,1.50616,0.000353975,0.000353975,0.000353975
61,3002.57,1.33642,1.02192,1.45956,0.63354,0.35787,0.41936,0.29055,1.44043,1.32942,1.52108,0.0003515,0.0003515,0.0003515
62,3051.83,1.37319,1.05772,1.47649,0.58556,0.3565,0.4108,0.28532,1.4349,1.33523,1.51955,0.000349025,0.000349025,0.000349025
63,3100.85,1.35291,1.03574,1.44936,0.65472,0.36497,0.42178,0.28995,1.40915,1.28136,1.51433,0.00034655,0.00034655,0.00034655
64,3149.28,1.32975,1.03399,1.47969,0.64557,0.36294,0.42415,0.29184,1.42354,1.27207,1.50512,0.000344075,0.000344075,0.000344075
65,3198.65,1.34627,1.01758,1.43844,0.68449,0.36264,0.42657,0.29157,1.41571,1.28025,1.49299,0.0003416,0.0003416,0.0003416
66,3247.51,1.30785,0.98424,1.44538,0.64644,0.36477,0.42231,0.28645,1.4262,1.30126,1.49375,0.000339125,0.000339125,0.000339125
67,3296.1,1.3169,0.99776,1.43938,0.62699,0.3639,0.42677,0.29198,1.39955,1.24729,1.51009,0.00033665,0.00033665,0.00033665
68,3345.02,1.31773,0.99707,1.42614,0.63149,0.38045,0.43905,0.30058,1.40513,1.23707,1.48504,0.000334175,0.000334175,0.000334175
69,3394.02,1.30904,0.99909,1.43288,0.62627,0.36555,0.42359,0.29099,1.41977,1.27301,1.48353,0.0003317,0.0003317,0.0003317
70,3442.97,1.31083,1.00622,1.43081,0.65241,0.37679,0.43114,0.29689,1.40778,1.25722,1.51003,0.000329225,0.000329225,0.000329225
71,3491.85,1.31593,0.9983,1.42481,0.63015,0.36365,0.42916,0.29413,1.4001,1.2555,1.49563,0.00032675,0.00032675,0.00032675
72,3540.86,1.30969,0.98495,1.4313,0.61389,0.38404,0.43477,0.29918,1.39206,1.25423,1.48508,0.000324275,0.000324275,0.000324275
73,3589.43,1.28954,0.97718,1.41133,0.65761,0.36739,0.43336,0.29865,1.37203,1.2383,1.4702,0.0003218,0.0003218,0.0003218
74,3638.06,1.27421,0.96832,1.42721,0.65633,0.39549,0.454,0.31449,1.37789,1.20823,1.46461,0.000319325,0.000319325,0.000319325
75,3686.85,1.29266,0.96901,1.44637,0.62455,0.38063,0.43874,0.30293,1.38492,1.26098,1.4893,0.00031685,0.00031685,0.00031685
76,3735.73,1.2954,0.97372,1.40984,0.65139,0.38508,0.44542,0.30939,1.37764,1.20689,1.47165,0.000314375,0.000314375,0.000314375
77,3784.65,1.27359,0.96949,1.41977,0.6642,0.38375,0.44646,0.30848,1.36989,1.20243,1.46137,0.0003119,0.0003119,0.0003119
78,3833.71,1.26569,0.95187,1.43363,0.69544,0.38388,0.44751,0.30929,1.37028,1.23753,1.47195,0.000309425,0.000309425,0.000309425
79,3883.2,1.27922,0.95799,1.42167,0.67087,0.38291,0.45356,0.3147,1.36922,1.21383,1.46599,0.00030695,0.00030695,0.00030695
80,3931.97,1.25431,0.9534,1.41084,0.64036,0.37865,0.44008,0.30627,1.37327,1.21657,1.47227,0.000304475,0.000304475,0.000304475
81,3981.05,1.2564,0.95452,1.40707,0.6013,0.38727,0.43893,0.30639,1.36105,1.2078,1.4566,0.000302,0.000302,0.000302
82,4029.48,1.26493,0.95872,1.41412,0.62885,0.39001,0.45136,0.31511,1.36864,1.16669,1.46808,0.000299525,0.000299525,0.000299525
83,4078.86,1.27193,0.94774,1.41738,0.62887,0.39199,0.44732,0.31107,1.35607,1.23313,1.46145,0.00029705,0.00029705,0.00029705
84,4128.08,1.24693,0.9326,1.40759,0.64771,0.38768,0.44799,0.31263,1.34671,1.20641,1.44702,0.000294575,0.000294575,0.000294575
85,4176.93,1.24302,0.92886,1.38621,0.64999,0.3947,0.45291,0.31271,1.34761,1.17681,1.47107,0.0002921,0.0002921,0.0002921
86,4225.53,1.2415,0.93824,1.3899,0.65179,0.39978,0.46827,0.33084,1.33374,1.1751,1.44156,0.000289625,0.000289625,0.000289625
87,4274.52,1.23936,0.9315,1.39392,0.65931,0.40788,0.46479,0.32373,1.3391,1.17836,1.43523,0.00028715,0.00028715,0.00028715
88,4323.51,1.24748,0.92675,1.38487,0.66244,0.3836,0.44739,0.30971,1.35075,1.20118,1.43217,0.000284675,0.000284675,0.000284675
89,4372.02,1.21797,0.90637,1.37707,0.68779,0.39071,0.46159,0.32283,1.32746,1.15688,1.43097,0.0002822,0.0002822,0.0002822
90,4420.75,1.20965,0.90076,1.39056,0.64615,0.39768,0.45734,0.31889,1.33894,1.20022,1.44907,0.000279725,0.000279725,0.000279725
91,4470.11,1.2441,0.92727,1.37515,0.61975,0.41345,0.46849,0.32527,1.32916,1.16615,1.43419,0.00027725,0.00027725,0.00027725
92,4518.85,1.22779,0.90965,1.39809,0.65099,0.40253,0.46526,0.32345,1.34194,1.15952,1.44458,0.000274775,0.000274775,0.000274775
93,4567.73,1.20558,0.89556,1.36969,0.67263,0.40824,0.47614,0.33171,1.32198,1.15068,1.44378,0.0002723,0.0002723,0.0002723
94,4616.52,1.20315,0.88386,1.36847,0.70532,0.40048,0.45947,0.31819,1.33909,1.19491,1.43625,0.000269825,0.000269825,0.000269825
95,4665.54,1.20325,0.88952,1.38735,0.63537,0.40913,0.46438,0.32487,1.31768,1.1454,1.43877,0.00026735,0.00026735,0.00026735
96,4714.62,1.20366,0.8825,1.38425,0.67816,0.39482,0.45891,0.32193,1.32345,1.14476,1.42138,0.000264875,0.000264875,0.000264875
97,4763.82,1.24031,0.91093,1.36147,0.62505,0.4063,0.45713,0.32168,1.31637,1.15786,1.43636,0.0002624,0.0002624,0.0002624
98,4813.1,1.1974,0.88947,1.35562,0.72258,0.40539,0.4633,0.32196,1.30942,1.15365,1.43207,0.000259925,0.000259925,0.000259925
99,4861.55,1.19995,0.88736,1.37129,0.67047,0.40881,0.47635,0.33654,1.315,1.15512,1.41684,0.00025745,0.00025745,0.00025745
100,4910.65,1.1828,0.88149,1.36398,0.69097,0.40924,0.46645,0.32861,1.30966,1.13609,1.41193,0.000254975,0.000254975,0.000254975
101,4959.41,1.21246,0.89472,1.36314,0.65372,0.40719,0.46819,0.32778,1.30208,1.1493,1.4083,0.0002525,0.0002525,0.0002525
102,5008.81,1.20734,0.885,1.36394,0.7183,0.40696,0.46751,0.32963,1.30464,1.12126,1.41726,0.000250025,0.000250025,0.000250025
103,5057.82,1.21606,0.8994,1.35664,0.65698,0.40948,0.46982,0.32962,1.31285,1.15139,1.40792,0.00024755,0.00024755,0.00024755
104,5106.55,1.17397,0.86705,1.35859,0.65725,0.40568,0.47088,0.33108,1.30417,1.12035,1.41877,0.000245075,0.000245075,0.000245075
105,5154.76,1.1875,0.87754,1.35931,0.67265,0.40603,0.47604,0.335,1.30434,1.13977,1.4187,0.0002426,0.0002426,0.0002426
106,5203.51,1.21154,0.88942,1.33593,0.6633,0.41577,0.47657,0.33625,1.29726,1.10572,1.40781,0.000240125,0.000240125,0.000240125
107,5252.45,1.19537,0.87328,1.36406,0.74856,0.40712,0.46972,0.33171,1.30061,1.1237,1.41596,0.00023765,0.00023765,0.00023765
108,5301.55,1.19883,0.87503,1.34195,0.74351,0.40548,0.47448,0.3336,1.29125,1.13275,1.4033,0.000235175,0.000235175,0.000235175
109,5350.46,1.17013,0.85239,1.33812,0.71613,0.41161,0.47349,0.33377,1.29022,1.10048,1.40618,0.0002327,0.0002327,0.0002327
110,5399.5,1.18019,0.84868,1.3387,0.72772,0.41689,0.4832,0.34199,1.28964,1.09536,1.40509,0.000230225,0.000230225,0.000230225
111,5448.83,1.19485,0.88023,1.35455,0.71017,0.41701,0.47452,0.33602,1.2862,1.10408,1.40557,0.00022775,0.00022775,0.00022775
112,5497.92,1.18598,0.86089,1.34172,0.72501,0.41296,0.47508,0.33713,1.28335,1.11901,1.39567,0.000225275,0.000225275,0.000225275
113,5546.9,1.15482,0.8572,1.34747,0.71602,0.41979,0.4793,0.34196,1.27436,1.10203,1.40131,0.0002228,0.0002228,0.0002228
114,5595.91,1.17338,0.85202,1.35699,0.73473,0.40967,0.47973,0.34114,1.27953,1.11189,1.41462,0.000220325,0.000220325,0.000220325
115,5644.66,1.15039,0.83836,1.34089,0.74561,0.40574,0.47796,0.34163,1.28453,1.09311,1.39475,0.00021785,0.00021785,0.00021785
