epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.685,1.78668,2.30283,1.15378,0.60783,0.26649,0.27984,0.16427,1.61898,1.38728,1.04007,0.000166038,0.000166038,0.000166038
2,131.739,1.60881,1.36819,1.06665,0.65234,0.3004,0.33528,0.19279,1.60604,1.22769,1.04093,0.000331058,0.000331058,0.000331058
3,189.959,1.6127,1.26715,1.06135,0.63598,0.3285,0.34635,0.19792,1.55945,1.19972,1.02336,0.000494427,0.000494427,0.000494427
4,249.775,1.52347,1.17941,1.04662,0.64565,0.33437,0.3848,0.22845,1.52892,1.11215,1.01948,0.000492575,0.000492575,0.000492575
5,309.18,1.47654,1.10792,1.02825,0.65656,0.35598,0.39641,0.23693,1.50495,1.08326,1.01594,0.0004901,0.0004901,0.0004901
6,368.553,1.47245,1.05161,1.02095,0.65369,0.39343,0.4253,0.25206,1.53884,1.0708,1.01961,0.000487625,0.000487625,0.000487625
7,428.828,1.42125,0.99716,1.01085,0.66905,0.39394,0.43845,0.26216,1.47477,1.02287,1.00171,0.00048515,0.00048515,0.00048515
8,490.423,1.44363,0.98518,1.00615,0.63315,0.40624,0.45354,0.27237,1.46916,0.96544,1.00077,0.000482675,0.000482675,0.000482675
9,548.825,1.41402,0.94699,0.99884,0.68194,0.42393,0.46085,0.278,1.44365,0.92762,0.98887,0.0004802,0.0004802,0.0004802
10,607.694,1.35405,0.90764,0.98952,0.61705,0.42674,0.45902,0.27615,1.45014,0.9621,0.98546,0.000477725,0.000477725,0.000477725
11,667.392,1.37837,0.91346,0.98366,0.70393,0.42766,0.46679,0.27747,1.46202,0.9463,0.99529,0.00047525,0.00047525,0.00047525
12,731.167,1.37398,0.90306,0.99289,0.6297,0.41531,0.46315,0.28362,1.43211,0.92594,0.98644,0.000472775,0.000472775,0.000472775
13,792.302,1.36564,0.89174,0.97982,0.71764,0.4251,0.47251,0.28961,1.42916,0.91816,0.98727,0.0004703,0.0004703,0.0004703
14,852.057,1.34205,0.8601,0.9704,0.7239,0.43167,0.47899,0.29372,1.43617,0.92391,0.98165,0.000467825,0.000467825,0.000467825
15,912.292,1.38212,0.85796,0.9707,0.74966,0.45246,0.49173,0.29655,1.43527,0.89636,0.98245,0.00046535,0.00046535,0.00046535
16,972.313,1.33674,0.8305,0.96297,0.73302,0.43608,0.48633,0.29622,1.4165,0.89678,0.9811,0.000462875,0.000462875,0.000462875
17,1030.26,1.30479,0.81489,0.96355,0.75382,0.45004,0.49254,0.29726,1.396,0.88329,0.97539,0.0004604,0.0004604,0.0004604
18,1089.11,1.34841,0.82543,0.96478,0.6865,0.44863,0.49197,0.29856,1.39784,0.89573,0.97745,0.000457925,0.000457925,0.000457925
19,1148.63,1.29823,0.8093,0.96475,0.74535,0.43722,0.48505,0.30158,1.38796,0.87216,0.97749,0.00045545,0.00045545,0.00045545
20,1209.01,1.30088,0.82002,0.96579,0.7579,0.45346,0.49145,0.29941,1.40859,0.89225,0.97761,0.000452975,0.000452975,0.000452975
21,1268.04,1.31161,0.81277,0.95796,0.72246,0.47231,0.50575,0.31574,1.37793,0.8659,0.97224,0.0004505,0.0004505,0.0004505
22,1324.98,1.27407,0.78192,0.96114,0.74495,0.45718,0.4995,0.3005,1.38058,0.86783,0.96867,0.000448025,0.000448025,0.000448025
23,1383,1.28128,0.7778,0.95088,0.69599,0.46674,0.51501,0.31794,1.37699,0.84736,0.97335,0.00044555,0.00044555,0.00044555
24,1440.91,1.25007,0.75661,0.94377,0.7445,0.46181,0.50486,0.31009,1.39973,0.85265,0.97544,0.000443075,0.000443075,0.000443075
25,1500.18,1.28138,0.77392,0.94903,0.68123,0.46112,0.50239,0.31201,1.38971,0.87191,0.97409,0.0004406,0.0004406,0.0004406
26,1558.15,1.24745,0.74691,0.94792,0.73514,0.47329,0.51207,0.31365,1.379,0.86436,0.97024,0.000438125,0.000438125,0.000438125
27,1619.36,1.2375,0.75754,0.94407,0.74449,0.48124,0.51366,0.3193,1.37318,0.83761,0.9715,0.00043565,0.00043565,0.00043565
28,1679.58,1.22942,0.73604,0.93876,0.75687,0.48757,0.52615,0.32718,1.36195,0.83455,0.96529,0.000433175,0.000433175,0.000433175
29,1738.98,1.22083,0.72315,0.93703,0.79519,0.45639,0.50082,0.31441,1.35339,0.83796,0.9688,0.0004307,0.0004307,0.0004307
30,1798.41,1.22061,0.72874,0.94437,0.73708,0.4662,0.5112,0.31595,1.35431,0.83607,0.96369,0.000428225,0.000428225,0.000428225
31,1856.56,1.21763,0.71817,0.93622,0.76996,0.47585,0.52685,0.32876,1.35487,0.83487,0.96592,0.00042575,0.00042575,0.00042575
32,1917.23,1.21014,0.72538,0.93808,0.72029,0.48139,0.5324,0.33608,1.34921,0.82901,0.96545,0.000423275,0.000423275,0.000423275
33,1976.53,1.22892,0.7142,0.93692,0.78726,0.48959,0.54358,0.33457,1.3625,0.81177,0.96233,0.0004208,0.0004208,0.0004208
34,2034.11,1.21637,0.70612,0.92524,0.79393,0.47638,0.53232,0.33522,1.34518,0.81825,0.96098,0.000418325,0.000418325,0.000418325
35,2093.34,1.22428,0.70487,0.92971,0.78034,0.4663,0.52359,0.32975,1.35688,0.81321,0.9651,0.00041585,0.00041585,0.00041585
36,2154.57,1.17443,0.68169,0.92655,0.70909,0.4857,0.52805,0.32878,1.35386,0.81155,0.9652,0.000413375,0.000413375,0.000413375
37,2213.37,1.2024,0.6879,0.92617,0.7653,0.49178,0.5359,0.3334,1.35288,0.80674,0.9635,0.0004109,0.0004109,0.0004109
38,2271.58,1.18953,0.67749,0.91999,0.71732,0.49484,0.54525,0.33976,1.35737,0.79684,0.96558,0.000408425,0.000408425,0.000408425
39,2331.26,1.18298,0.66909,0.92153,0.76903,0.48512,0.53467,0.33185,1.3581,0.81983,0.96113,0.00040595,0.00040595,0.00040595
40,2390.78,1.17068,0.67004,0.91917,0.78729,0.48616,0.53787,0.34057,1.3126,0.78334,0.95522,0.000403475,0.000403475,0.000403475
41,2453.27,1.18268,0.67615,0.92293,0.72003,0.48887,0.54075,0.34059,1.32737,0.79404,0.95916,0.000401,0.000401,0.000401
42,2516.04,1.16621,0.66707,0.92259,0.72952,0.49532,0.54335,0.33687,1.33769,0.79844,0.95887,0.000398525,0.000398525,0.000398525
43,2577.25,1.1737,0.66575,0.92095,0.7919,0.48589,0.53514,0.33013,1.34353,0.8009,0.96389,0.00039605,0.00039605,0.00039605
44,2637.38,1.17015,0.66984,0.92311,0.7019,0.47549,0.52451,0.33219,1.33909,0.81153,0.96274,0.000393575,0.000393575,0.000393575
45,2695.25,1.18621,0.66975,0.92143,0.69588,0.49477,0.54625,0.34485,1.35155,0.80936,0.96417,0.0003911,0.0003911,0.0003911
46,2754.02,1.16021,0.65133,0.91503,0.81385,0.49367,0.54876,0.34422,1.34615,0.79893,0.96553,0.000388625,0.000388625,0.000388625
47,2814.54,1.15504,0.65959,0.91742,0.77736,0.49282,0.54158,0.34652,1.33079,0.79453,0.96253,0.00038615,0.00038615,0.00038615
48,2876.12,1.15388,0.65282,0.91451,0.71516,0.48586,0.5316,0.33943,1.32663,0.79973,0.96035,0.000383675,0.000383675,0.000383675
49,2936,1.13109,0.6391,0.91215,0.7196,0.50122,0.54029,0.34018,1.3299,0.79401,0.95801,0.0003812,0.0003812,0.0003812
50,2997.35,1.12515,0.63973,0.91047,0.77949,0.48688,0.53693,0.34097,1.32583,0.7939,0.9618,0.000378725,0.000378725,0.000378725
51,3054.48,1.16087,0.64933,0.91918,0.78636,0.50206,0.54667,0.33606,1.35481,0.79612,0.9628,0.00037625,0.00037625,0.00037625
52,3115.81,1.14286,0.64066,0.91034,0.72225,0.48586,0.53265,0.34237,1.32075,0.79327,0.9592,0.000373775,0.000373775,0.000373775
53,3172.89,1.16874,0.64788,0.91309,0.7147,0.48606,0.5317,0.33538,1.34694,0.77975,0.96445,0.0003713,0.0003713,0.0003713
54,3233.34,1.10684,0.61407,0.90537,0.79731,0.48333,0.53396,0.34346,1.31205,0.78344,0.95771,0.000368825,0.000368825,0.000368825
55,3291.48,1.13852,0.62864,0.90749,0.79864,0.48991,0.54245,0.3502,1.3083,0.77095,0.9592,0.00036635,0.00036635,0.00036635
56,3351.27,1.13551,0.63716,0.90889,0.78859,0.50089,0.54848,0.3454,1.32768,0.78493,0.9631,0.000363875,0.000363875,0.000363875
57,3408.45,1.10688,0.61874,0.90066,0.7929,0.49291,0.54105,0.34173,1.33077,0.78996,0.95834,0.0003614,0.0003614,0.0003614
58,3469.92,1.14295,0.6283,0.90811,0.78527,0.50123,0.55125,0.34928,1.33648,0.78307,0.96363,0.000358925,0.000358925,0.000358925
59,3527.73,1.12949,0.61625,0.90642,0.72608,0.49333,0.54064,0.34134,1.33,0.79045,0.96264,0.00035645,0.00035645,0.00035645
60,3587.77,1.15278,0.64104,0.90592,0.73668,0.49591,0.54869,0.34962,1.3208,0.77629,0.95747,0.000353975,0.000353975,0.000353975
61,3646.73,1.10527,0.61101,0.90267,0.81777,0.48925,0.54759,0.35258,1.3156,0.78422,0.95541,0.0003515,0.0003515,0.0003515
